7062	6354	1
8712	24760	1
8705	8576	1
348	8871	-1
24520	23898	-1
6913	11259	-1
22285	22342	-1
24680	22786	1
19483	24927	-1
752	5461	1
3764	350	-1
3257	3775	-1
21466	21106	1
317	3817	-1
20836	6391	1
2695	24302	-1
8518	8067	-1
6922	24940	-1
14352	987	1
11031	14895	-1
14077	24760	1
11609	11391	1
16839	16840	-1
6282	5917	1
19740	14095	-1
15654	15585	-1
23846	9087	-1
7141	6716	1
11630	23510	1
10018	4264	-1
7954	6637	-1
15527	1826	-1
4819	17650	-1
8035	2620	-1
3945	21293	1
19299	2890	1
10364	1927	-1
5148	2658	-1
7237	9874	-1
5054	15279	-1
5922	26472	1
18438	3886	-1
8754	8682	-1
2337	2644	-1
8946	2978	-1
14095	13802	1
16825	16830	1
16772	16231	-1
16937	981	1
717	1245	-1
1937	2914	-1
7373	9124	1
11618	11836	1
15756	22183	-1
8370	2459	-1
438	16900	-1
5529	5399	-1
4146	935	-1
1576	2922	-1
16986	1204	1
21918	13918	1
10179	15533	1
10226	375	-1
1489	8926	1
2294	2867	1
564	89	-1
1133	1367	-1
12303	12761	1
9897	21147	1
18	2026	-1
4380	1700	-1
125	21825	-1
20406	9295	-1
14506	823	1
6788	23491	1
17484	7049	1
3664	11178	1
6613	7022	-1
18276	7199	-1
18454	2785	1
3052	14160	-1
8505	5724	-1
1384	502	1
24363	13764	-1
6258	1079	-1
2132	19763	-1
5057	5002	1
1126	3983	1
11680	23	-1
1304	168	-1
26022	25837	-1
906	1880	-1
18661	3270	-1
6562	8848	1
16635	13556	-1
2304	2073	-1
4534	6322	1
20530	7102	-1
9310	21707	-1
25743	7844	1
16912	1346	1
5299	21583	-1
3323	1838	1
13213	1689	-1
3125	2579	-1
4639	7328	-1
5510	22524	1
7473	9469	-1
1495	438	-1
882	14310	-1
5703	12388	-1
3026	1327	-1
8534	6779	1
7354	11214	1
8794	20585	-1
1779	1381	1
12007	1695	-1
7014	6970	-1
6011	23561	-1
7333	7722	1
12196	26499	1
6419	25396	1
15944	25853	-1
477	18032	-1
1468	1425	1
13578	487	1
16920	17205	1
9954	9492	1
10511	13240	-1
10494	18336	1
13785	13964	-1
1481	752	1
3992	2674	-1
17078	248	1
438	1461	-1
13384	12120	1
6809	161	-1
8167	8484	-1
16651	21197	1
4483	10209	1
11567	11991	1
8076	2161	1
5845	3487	1
3969	13106	1
814	8820	-1
12231	13231	-1
2777	2622	1
13069	13056	-1
12130	16882	-1
7738	16	-1
17204	11408	-1
12412	10672	-1
8973	11927	-1
5919	10134	1
20825	9873	1
5833	5703	-1
2697	11138	-1
10391	12409	-1
1073	303	1
7201	6541	-1
13575	1327	1
18916	25681	-1
17217	19155	1
5328	23268	-1
16890	1069	1
333	1835	-1
8830	23131	-1
23747	23830	1
0	1511	1
11400	11487	-1
743	468	1
5980	12557	-1
22741	5887	1
5540	7012	1
23188	25672	-1
12891	21327	-1
8518	7117	-1
6032	2554	1
11097	8293	-1
4583	2978	-1
572	509	1
8715	21228	-1
9531	9145	-1
19626	594	1
4463	13173	1
14948	16236	-1
5475	368	1
11460	13313	1
21952	21880	1
17242	17317	-1
6748	10525	1
4463	9985	1
8152	11089	-1
4177	20688	-1
10575	2544	-1
8704	23008	-1
11766	2041	-1
20574	7578	1
553	15602	1
8821	8365	1
8161	8413	1
4213	6465	-1
1052	590	1
7174	1902	1
7024	862	1
18287	18372	-1
3045	18677	1
12638	6883	1
24688	11472	1
9414	11470	1
548	419	1
21871	22108	-1
13506	13109	1
3788	2678	1
11690	10897	1
167	4606	-1
14401	24299	-1
7424	12883	-1
8300	1270	-1
9881	22477	1
5980	20143	1
9500	9693	-1
8960	11072	-1
11063	25418	-1
5566	5598	1
1135	15826	1
25345	23102	-1
5335	4709	-1
1001	18183	-1
21657	21641	-1
519	1531	-1
5703	11996	1
15301	15306	1
6987	1559	1
1475	11017	-1
7013	12839	-1
309	7468	-1
9134	10276	1
18409	1508	1
8596	11075	-1
7094	4738	-1
5684	21449	-1
12284	2541	1
5955	6785	-1
2736	4296	1
1285	474	1
4932	10978	1
10670	7491	-1
4581	3868	-1
6682	6121	-1
23735	7901	-1
23237	22740	-1
10798	7355	1
6061	9090	-1
8952	5684	-1
4521	1783	1
7102	671	-1
2632	959	-1
12850	1849	-1
23895	7945	-1
11536	6692	-1
8074	13142	-1
2587	18906	1
6777	15413	-1
1039	3891	-1
5703	7373	-1
22640	3084	1
1312	9921	-1
2885	5309	-1
3278	258	-1
7061	5028	-1
3203	11117	-1
19560	8566	1
6325	5823	-1
22927	22788	1
6611	6062	-1
3700	239	-1
4554	5952	-1
7357	19558	-1
443	702	-1
16967	17692	-1
3853	3022	1
1869	5026	1
7928	13643	1
1128	18840	-1
1840	211	-1
3851	15759	1
21734	12153	1
13902	6482	-1
9092	6114	-1
2146	9890	1
16299	3581	1
69	4192	-1
5454	6012	1
11222	13939	-1
5386	5468	-1
792	1078	-1
15363	22318	1
8558	9870	1
1771	19399	1
16831	16606	-1
14197	13897	-1
3161	5684	-1
3221	14621	1
2542	14941	-1
26010	1799	1
6	8113	1
25614	16327	-1
4131	11710	-1
19250	5162	-1
8711	9037	1
80	16170	1
9033	9868	1
6978	5906	-1
2841	14729	-1
1533	22855	-1
22762	9498	-1
10823	11950	1
25185	1927	-1
8721	10783	1
17067	2924	-1
10472	9811	-1
941	6351	1
18057	17997	-1
1782	15676	-1
7098	5341	1
9448	9604	-1
10169	11313	-1
8745	8638	1
13307	14100	1
24882	13992	1
2242	1542	1
5583	5649	-1
12398	11213	1
6244	9790	1
1372	287	-1
755	992	-1
9571	3707	1
11019	9246	-1
4704	710	1
22789	7472	-1
6436	5106	-1
21999	22145	-1
4077	6662	-1
19863	20055	1
23327	23024	-1
12006	11215	1
20604	21242	1
2890	8596	1
17581	170	-1
8325	6597	-1
21028	20537	1
21379	6565	1
21790	6087	-1
1858	17278	-1
24206	10293	1
10622	10684	-1
20663	5508	1
2274	2996	-1
10500	4832	-1
15949	15293	1
2930	5957	1
1515	932	-1
6801	9982	1
12226	141	-1
8939	23326	-1
11426	16112	-1
3700	7525	-1
21879	21875	-1
15118	955	-1
5412	5413	1
912	908	1
7903	21249	-1
1189	15393	1
120	1806	-1
6376	16191	-1
14616	17143	1
14042	9133	-1
249	9898	-1
4194	3441	1
14828	15027	-1
5151	317	1
20587	847	-1
24504	8980	-1
1387	14658	-1
7515	1026	-1
21473	12895	-1
26159	1127	-1
2664	5387	-1
17030	6359	-1
1750	12029	-1
946	17512	1
17139	39	-1
3604	3774	1
20830	311	-1
963	16991	-1
5530	20497	1
3485	8805	-1
13083	21220	-1
21152	6338	-1
6908	15188	1
9237	14970	-1
1043	566	1
507	219	1
19137	18938	-1
7790	6049	-1
2810	1022	-1
21594	11387	-1
2656	736	-1
1782	435	-1
20172	20690	-1
3272	5401	-1
1516	19970	-1
19438	3237	1
7598	9908	1
16945	24564	-1
4955	14023	-1
14840	3657	-1
16284	15659	1
3226	6414	1
707	14838	-1
3119	2964	1
8632	3485	-1
17753	23102	-1
1215	1410	-1
19698	17141	1
5920	6217	1
4444	6394	1
5600	1993	-1
12241	534	-1
1347	74	1
20884	1096	1
10474	6322	1
9702	14692	-1
9594	8860	1
3266	177	-1
2858	17866	-1
3288	15177	-1
5148	6633	-1
4414	2736	-1
4334	4546	-1
10511	7061	1
9247	7498	-1
22306	24460	1
4159	9475	-1
10923	10845	-1
16928	8216	-1
8995	21471	1
13520	2167	-1
12891	6280	-1
7979	6260	-1
11574	23574	-1
19650	3902	1
16068	6013	1
14601	13215	1
13312	2878	1
24863	16422	-1
1955	16300	-1
7445	5055	-1
22176	21546	1
3700	2703	-1
15854	1116	-1
2066	5385	1
18958	211	-1
8726	8539	-1
9944	2663	-1
8757	8771	-1
3355	167	-1
9032	8810	-1
6300	5736	-1
16270	16116	-1
3501	2008	-1
14217	12891	1
6877	22908	1
4427	11838	1
310	307	-1
12006	1401	-1
479	19972	-1
10679	14779	-1
13213	8506	-1
10734	287	-1
7740	3817	-1
533	10770	-1
11710	11776	1
61	24163	1
308	18105	1
13755	11368	1
8819	5823	1
8166	14717	-1
21926	21999	-1
2305	705	-1
15909	17552	1
10798	12754	1
6984	13539	1
8794	20661	-1
12242	14093	1
12850	12041	-1
1259	1395	1
10556	5011	-1
19483	19089	1
11654	8492	-1
8506	738	-1
148	3681	1
847	609	-1
5055	405	-1
25044	19257	1
6192	18242	1
7746	109	1
16845	603	1
10969	9855	-1
11350	8349	1
15759	16682	-1
7237	9701	-1
2146	6942	1
10196	13274	-1
7643	4871	-1
13183	2105	-1
265	22728	-1
15659	9005	1
5011	6114	-1
446	4696	1
10555	1962	-1
1719	6925	1
10823	11583	-1
882	6547	-1
15633	1886	1
18628	19630	1
9408	9648	-1
20363	20508	-1
19074	1434	1
11186	20952	-1
2838	21562	-1
9198	10956	-1
4966	23258	-1
225	440	1
9303	15909	1
5328	13420	1
11402	8023	-1
9006	9620	1
2526	19272	-1
13025	2381	-1
7022	6933	-1
9550	8883	-1
12752	12922	1
2970	2912	1
11540	12532	1
10627	1244	-1
497	1673	1
452	25841	-1
12469	5316	1
10129	10188	1
7928	15160	-1
24731	22137	1
6800	1951	1
7311	8165	-1
16049	24556	-1
18504	18372	-1
1951	17786	-1
2044	6597	-1
9952	9520	-1
8450	3501	1
6367	5744	-1
14859	15038	-1
12552	12200	-1
8813	23836	-1
9056	12109	1
5117	335	1
6029	5832	1
12072	13050	-1
10712	10670	1
5416	8290	1
23251	17371	1
7404	24314	1
4	12651	1
6321	5944	1
4759	16121	-1
18705	17655	-1
19539	19215	1
5094	5480	1
11375	24556	-1
2656	4164	-1
2542	1511	-1
3775	3915	-1
5472	7580	1
2912	3080	-1
3694	4470	1
3365	536	1
17028	13553	1
18602	1890	-1
7021	3320	1
21412	3480	-1
6111	6147	-1
20643	11186	1
1522	1480	1
19186	4499	1
6447	7022	-1
17758	1681	-1
7195	5125	-1
20722	5148	-1
11802	232	-1
12967	11789	-1
5148	21790	-1
12398	11254	-1
5081	5261	-1
66	1304	-1
20502	20117	-1
5922	19466	-1
1318	1365	1
5928	6343	1
21340	22304	1
8385	7395	1
21240	21326	-1
2687	2061	1
8360	11406	-1
14125	14769	1
1150	286	-1
10333	6781	-1
22389	9844	1
13497	13063	-1
12465	16167	1
20843	6700	-1
25200	22317	-1
19145	889	-1
5889	5762	1
365	441	-1
15349	3774	-1
1238	3058	1
2349	8849	1
15772	8071	1
12845	11352	-1
8015	6096	-1
11406	11259	1
5205	6796	1
10251	9609	-1
1402	14780	1
3092	12093	-1
21871	21987	-1
20197	2078	-1
2045	8450	1
13217	11709	-1
21141	21480	-1
9342	8733	-1
8539	5587	-1
6678	6958	-1
4469	2575	1
9400	14115	1
15881	17222	-1
16384	14920	1
1503	1181	1
21045	21508	-1
1835	3360	-1
7886	3964	-1
5398	866	-1
9811	11347	-1
1671	3262	-1
21011	21050	1
10647	13072	1
10198	2985	-1
9674	9908	1
16007	16288	-1
5263	5742	-1
6553	13458	-1
26121	1312	-1
19540	6759	1
7673	3377	-1
7754	8760	-1
2499	73	-1
17920	18059	1
12313	4561	-1
7357	5151	-1
4762	16795	1
18852	6277	-1
5412	3884	-1
14942	12866	1
1543	3569	-1
13798	10926	1
839	4564	1
8243	4177	-1
25856	25284	-1
10613	7291	1
5417	4343	1
7315	11299	1
10334	563	-1
11377	9588	-1
3207	20120	1
1155	7024	1
8314	6192	-1
8537	8450	1
8352	11369	1
19371	19478	-1
14096	15980	1
25646	42	1
375	11028	-1
10494	15301	1
3774	2982	-1
20748	23108	-1
838	2241	-1
23368	5750	-1
10436	1489	-1
13378	18799	1
25633	22913	-1
11404	8812	-1
5799	13100	1
4070	563	1
2134	7930	-1
955	260	1
22244	674	-1
11634	4858	1
6479	111	-1
2664	4442	1
21364	3664	-1
16575	16389	1
6137	5368	-1
6594	838	-1
13976	24002	-1
6663	7881	-1
3316	18714	1
17217	19882	-1
12866	14066	-1
1603	847	-1
7891	8249	-1
10829	8627	-1
10659	11051	-1
16946	16403	1
668	9796	1
5439	5567	-1
8450	8165	-1
10735	24887	-1
16777	3783	1
13385	1764	1
4421	533	1
995	2815	1
14551	1753	1
8954	22007	1
627	4596	-1
3839	5326	-1
4036	3028	1
4293	4072	1
7372	12328	-1
3371	858	1
7154	6027	1
872	1322	-1
7809	25797	-1
847	6191	-1
3827	15854	-1
2544	9579	1
2018	5945	-1
9682	8973	-1
5728	5683	-1
19372	14796	1
4822	13539	1
9952	10430	-1
2896	587	1
2056	10113	-1
9145	4858	-1
10651	10613	-1
2018	1876	1
13523	8045	1
