8712	24760	1
15654	15585	1
11618	11836	1
14506	823	1
1126	3983	1
6562	8848	1
16912	1346	1
16651	21197	1
4483	10209	1
3969	13106	1
17204	11408	1
12638	6883	1
548	419	1
10798	7355	1
13307	14100	1
20663	5508	1
5412	5413	1
1043	566	1
6877	22908	1
2146	6942	1
15633	1886	1
19074	1434	1
225	440	1
11402	8023	1
24731	22137	1
3365	536	1
14125	14769	1
8352	11369	1
4070	563	1
13385	1764	1
4036	3028	1
11310	6482	1
15569	718	1
16626	15674	1
24364	23555	1
10321	10912	1
6093	3256	1
14675	15413	1
14363	12231	1
20613	2402	1
20525	18501	1
1180	4835	1
613	2752	1
9534	22781	1
21687	9472	1
3663	18334	1
9985	10773	1
2033	3813	1
4316	8815	1
10527	10281	1
14712	16955	1
1114	4651	1
8035	22444	1
10393	10382	1
2747	22528	1
612	8545	1
286	18151	1
2285	18855	1
2192	5127	1
13881	13927	1
6651	7227	1
929	3499	1
9319	17434	1
861	203	1
2033	6375	1
5033	5111	1
18318	6421	1
24458	11634	1
10314	10307	1
6885	8218	1
9562	12891	1
3430	3393	1
22547	256	1
14675	17947	1
4449	18909	1
3361	2030	1
19473	19902	1
12827	3371	1
3891	4154	1
1597	4408	1
6384	2697	1
6290	7946	1
996	1365	1
18355	3436	1
16635	23161	1
10308	3737	1
1886	3592	1
21580	5148	1
22861	10466	1
9695	23428	1
2499	4151	1
22616	14128	1
6173	8843	1
3501	8162	1
14740	1067	1
25722	25613	1
19309	14790	1
3005	18132	1
25472	2296	1
21621	10808	1
6072	1976	1
15651	15261	1
13228	12547	1
9246	5359	1
4632	6777	1
6345	2358	1
23184	7642	1
17895	15972	1
17270	13892	1
6193	2037	1
5234	9520	1
14650	10871	1
26065	10330	1
1048	2347	1
9090	6409	1
8238	10020	1
22315	11615	1
17527	13967	1
10756	11460	1
13493	9744	1
24418	11681	1
2099	5371	1
186	754	1
22868	6781	1
19499	6389	1
9575	25143	1
5718	16345	1
3041	3105	1
1764	13170	1
19112	4177	1
8298	2095	1
11266	11560	1
8959	9028	1
18937	18594	1
667	664	1
2053	17346	1
14839	14846	1
2459	3635	1
22963	22134	1
12282	17219	1
15721	14948	1
432	430	1
3835	2334	1
12321	12215	1
25559	24831	1
16176	5718	1
16	1334	1
15331	15332	1
11580	9409	1
8292	10030	1
5975	1123	1
2110	20870	1
22743	22744	1
22273	10604	1
8740	8612	1
10528	23227	1
3969	9543	1
16687	6683	1
22914	23077	1
596	25789	1
9409	11420	1
8984	6565	1
6607	6333	1
2015	3635	1
5341	24281	1
11414	11423	1
9586	9590	1
11196	13892	1
11698	9087	1
12651	11205	1
485	15345	1
12910	8843	1
458	701	1
5102	7694	1
5661	4201	1
1033	2281	1
18890	3635	1
3620	4981	1
5341	23717	1
17636	2297	1
1585	775	1
4853	5067	1
7809	16363	1
93	9134	1
1653	1033	1
2462	3503	1
8349	10364	1
79	1918	1
9893	5752	1
640	4540	1
19934	20049	1
343	5682	1
7315	21427	1
20895	7946	1
22099	22227	1
1434	115	1
22772	7950	1
3648	18982	1
17686	5359	1
1069	19114	1
7159	8132	1
2540	7809	1
14743	3371	1
10218	9985	1
14074	7485	1
21006	13808	1
989	3635	1
22137	24071	1
24182	24731	1
13255	10970	1
3687	3375	1
20824	4719	1
8126	19970	1
3328	10078	1
9506	10021	1
17374	13080	1
1872	1970	1
1109	217	1
22044	21611	1
5823	1155	1
9652	20469	1
4098	3843	1
1136	20685	1
3109	12050	1
23419	6101	1
3389	24329	1
22450	22274	1
3431	2729	1
14571	11817	1
18257	19114	1
10286	9758	1
11880	25530	1
12509	111	1
11400	8972	1
7540	8381	1
6940	6161	1
2934	16486	1
24181	12769	1
2285	6333	1
15074	24507	1
26383	14265	1
6338	20952	1
7886	1251	1
24685	24632	1
19968	22854	1
13311	13355	1
298	343	1
7928	11925	1
7494	19296	1
11460	4343	1
14352	17907	1
7525	1913	1
2898	2796	1
1900	16269	1
2044	5413	1
10479	10476	1
11544	11680	1
11903	8460	1
2595	3418	1
24914	23960	1
1928	79	1
21965	11401	1
508	23287	1
6976	9985	1
20787	19933	1
9512	19853	1
25275	14548	1
9115	9844	1
21834	18679	1
9954	22767	1
17298	18501	1
16	373	1
8198	23054	1
20398	20353	1
24644	23750	1
11210	11579	1
2613	12142	1
8054	10449	1
9543	10509	1
10130	13270	1
13880	15345	1
3442	3843	1
7912	9476	1
2070	2057	1
22441	9939	1
20517	8470	1
12207	11889	1
1460	573	1
14346	22057	1
11243	11069	1
22389	7642	1
4949	5381	1
6921	11789	1
24458	22902	1
22963	23208	1
14062	11075	1
161	6157	1
3470	3845	1
2326	3810	1
22743	22809	1
7183	11588	1
2846	2372	1
7355	11423	1
383	1071	1
13955	15933	1
5744	6211	1
23152	23170	1
1189	14755	1
1787	10509	1
10145	12589	1
3726	2350	1
6487	5387	1
1178	16954	1
4872	6606	1
12135	12549	1
22902	7061	1
3698	16415	1
8005	7979	1
22515	24071	1
14675	14103	1
12601	12645	1
19270	6171	1
6759	2115	1
9042	1440	1
5864	23287	1
20678	4992	1
4177	21035	1
11712	24654	1
7694	7642	1
8910	3891	1
25603	12284	1
11296	13629	1
16682	17331	1
20508	20635	1
1577	3422	1
19783	14814	1
6777	6093	1
10321	126	1
387	20787	1
15195	6142	1
2841	2021	1
13070	11641	1
3919	19209	1
8715	11061	1
22173	20626	1
7733	7731	1
462	15230	1
3431	21943	1
14876	14877	1
9870	10841	1
22609	22160	1
22499	22511	1
15680	3221	1
3112	821	1
13036	11296	1
3088	3431	1
10733	11402	1
7025	7979	1
12204	12282	1
11717	10925	1
